All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    Hybrid_Pl2  Illumina_Only_Pl2
# contigs (>= 0 bp)         1           9                
# contigs (>= 1000 bp)      1           6                
# contigs (>= 5000 bp)      1           2                
# contigs (>= 10000 bp)     1           0                
# contigs (>= 25000 bp)     1           0                
# contigs (>= 50000 bp)     0           0                
Total length (>= 0 bp)      31797       29384            
Total length (>= 1000 bp)   31797       27954            
Total length (>= 5000 bp)   31797       13127            
Total length (>= 10000 bp)  31797       0                
Total length (>= 25000 bp)  31797       0                
Total length (>= 50000 bp)  0           0                
# contigs                   1           8                
Largest contig              31797       8051             
Total length                31797       29306            
Reference length            32423       32423            
GC (%)                      36.11       35.98            
Reference GC (%)            36.13       36.13            
N50                         31797       4734             
NG50                        31797       4734             
N90                         31797       4308             
NG90                        31797       614              
auN                         31797.0     5231.4           
auNG                        31183.1     4728.5           
L50                         1           3                
LG50                        1           3                
L90                         1           5                
LG90                        1           8                
# N's per 100 kbp           0.00        0.00             
