# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "4" "-p" "-t" "CDS" "-g" "ID" "-a" "results/annotation/E745_Annotation_Final_Polished/E745_Final.gff" "-o" "results/rnaseq/counts/gene_counts.txt" "results/rnaseq/alignment/ERR1797969_Serum.bam" "results/rnaseq/alignment/ERR1797970_Serum.bam" "results/rnaseq/alignment/ERR1797971_Serum.bam" "results/rnaseq/alignment/ERR1797972_BHI.bam" "results/rnaseq/alignment/ERR1797973_BHI.bam" "results/rnaseq/alignment/ERR1797974_BHI.bam" 
Geneid	Chr	Start	End	Strand	Length	results/rnaseq/alignment/ERR1797969_Serum.bam	results/rnaseq/alignment/ERR1797970_Serum.bam	results/rnaseq/alignment/ERR1797971_Serum.bam	results/rnaseq/alignment/ERR1797972_BHI.bam	results/rnaseq/alignment/ERR1797973_BHI.bam	results/rnaseq/alignment/ERR1797974_BHI.bam
MJEHNMBL_00001	E745_Chromosome_SuperHybrid_pilon	510	644	+	135	5	5	8	26	17	58
MJEHNMBL_00002	E745_Chromosome_SuperHybrid_pilon	762	1118	+	357	17	20	5	53	34	63
MJEHNMBL_00003	E745_Chromosome_SuperHybrid_pilon	1115	1933	+	819	48	41	48	118	133	244
MJEHNMBL_00004	E745_Chromosome_SuperHybrid_pilon	1951	2709	+	759	107	81	72	138	139	202
MJEHNMBL_00005	E745_Chromosome_SuperHybrid_pilon	2877	3215	-	339	0	0	0	2	3	6
MJEHNMBL_00006	E745_Chromosome_SuperHybrid_pilon	3559	4956	+	1398	24	30	34	116	101	174
MJEHNMBL_00007	E745_Chromosome_SuperHybrid_pilon	4973	6874	+	1902	57	52	84	226	180	323
MJEHNMBL_00008	E745_Chromosome_SuperHybrid_pilon	7106	7819	+	714	8	16	14	42	49	82
MJEHNMBL_00009	E745_Chromosome_SuperHybrid_pilon	7831	8598	+	768	34	22	25	69	99	114
MJEHNMBL_00010	E745_Chromosome_SuperHybrid_pilon	8585	9475	+	891	36	51	45	108	76	132
MJEHNMBL_00011	E745_Chromosome_SuperHybrid_pilon	9496	9687	+	192	22	20	13	40	28	36
MJEHNMBL_00012	E745_Chromosome_SuperHybrid_pilon	9696	10796	+	1101	112	142	124	242	237	250
MJEHNMBL_00013	E745_Chromosome_SuperHybrid_pilon	10886	11581	+	696	79	83	64	114	131	226
MJEHNMBL_00014	E745_Chromosome_SuperHybrid_pilon	12086	13570	+	1485	602	740	634	324	318	514
MJEHNMBL_00015	E745_Chromosome_SuperHybrid_pilon	14119	15390	-	1272	32	73	44	124	114	135
MJEHNMBL_00016	E745_Chromosome_SuperHybrid_pilon	15684	16892	-	1209	33	48	24	28	30	56
MJEHNMBL_00017	E745_Chromosome_SuperHybrid_pilon	16879	17568	-	690	52	47	35	50	33	87
MJEHNMBL_00030	E745_Chromosome_SuperHybrid_pilon	24309	24776	+	468	13	24	24	16	18	25
MJEHNMBL_00031	E745_Chromosome_SuperHybrid_pilon	24783	27275	+	2493	306	350	361	197	222	328
MJEHNMBL_00032	E745_Chromosome_SuperHybrid_pilon	27496	28419	+	924	26	26	16	86	109	182
MJEHNMBL_00033	E745_Chromosome_SuperHybrid_pilon	28428	29678	+	1251	43	51	38	126	137	198
MJEHNMBL_00034	E745_Chromosome_SuperHybrid_pilon	29812	31158	+	1347	38	78	95	184	173	170
MJEHNMBL_00035	E745_Chromosome_SuperHybrid_pilon	32093	33046	-	954	2	0	2	4	8	8
MJEHNMBL_00036	E745_Chromosome_SuperHybrid_pilon	33059	34162	-	1104	24	12	12	16	44	39
MJEHNMBL_00037	E745_Chromosome_SuperHybrid_pilon	34252	35208	-	957	144	138	173	154	170	211
MJEHNMBL_00038	E745_Chromosome_SuperHybrid_pilon	35489	37423	+	1935	54	62	70	142	98	223
MJEHNMBL_00039	E745_Chromosome_SuperHybrid_pilon	37880	38296	+	417	10	10	16	20	17	44
MJEHNMBL_00040	E745_Chromosome_SuperHybrid_pilon	38310	38876	+	567	15	4	7	18	6	33
MJEHNMBL_00041	E745_Chromosome_SuperHybrid_pilon	38899	39885	+	987	56	16	17	31	36	72
MJEHNMBL_00042	E745_Chromosome_SuperHybrid_pilon	40040	42022	-	1983	42	64	46	206	256	426
MJEHNMBL_00043	E745_Chromosome_SuperHybrid_pilon	42309	42833	+	525	46	56	66	36	32	52
MJEHNMBL_00044	E745_Chromosome_SuperHybrid_pilon	43150	44118	-	969	46	56	34	38	52	49
MJEHNMBL_00045	E745_Chromosome_SuperHybrid_pilon	44275	45081	-	807	6	4	8	8	10	14
MJEHNMBL_00046	E745_Chromosome_SuperHybrid_pilon	45078	45983	-	906	6	2	0	4	0	6
MJEHNMBL_00047	E745_Chromosome_SuperHybrid_pilon	46001	46969	-	969	10	7	2	12	6	14
MJEHNMBL_00048	E745_Chromosome_SuperHybrid_pilon	47697	51314	+	3618	611	696	567	1587	1436	2217
MJEHNMBL_00049	E745_Chromosome_SuperHybrid_pilon	51393	55046	+	3654	550	628	604	1507	1428	2156
MJEHNMBL_00050	E745_Chromosome_SuperHybrid_pilon	55641	56666	-	1026	26	24	36	38	36	46
MJEHNMBL_00051	E745_Chromosome_SuperHybrid_pilon	56941	58626	+	1686	0	0	0	2	2	0
MJEHNMBL_00052	E745_Chromosome_SuperHybrid_pilon	58640	59923	+	1284	0	0	2	0	0	2
MJEHNMBL_00053	E745_Chromosome_SuperHybrid_pilon	59993	60862	+	870	0	0	0	0	2	0
MJEHNMBL_00054	E745_Chromosome_SuperHybrid_pilon	60859	61695	+	837	0	0	0	2	0	2
MJEHNMBL_00055	E745_Chromosome_SuperHybrid_pilon	61721	62788	+	1068	0	0	2	0	0	0
MJEHNMBL_00056	E745_Chromosome_SuperHybrid_pilon	62785	63612	+	828	0	0	0	0	0	2
MJEHNMBL_00057	E745_Chromosome_SuperHybrid_pilon	63657	64682	+	1026	0	0	0	0	0	0
MJEHNMBL_00058	E745_Chromosome_SuperHybrid_pilon	64679	66862	+	2184	0	4	0	2	0	2
MJEHNMBL_00059	E745_Chromosome_SuperHybrid_pilon	66862	67992	+	1131	1	0	2	4	3	4
MJEHNMBL_00060	E745_Chromosome_SuperHybrid_pilon	67989	68666	+	678	1	1	0	2	4	0
MJEHNMBL_00061	E745_Chromosome_SuperHybrid_pilon	68750	69277	+	528	27	42	21	5	8	6
MJEHNMBL_00062	E745_Chromosome_SuperHybrid_pilon	69478	70164	-	687	0	0	4	4	2	6
MJEHNMBL_00063	E745_Chromosome_SuperHybrid_pilon	70244	71782	+	1539	20	13	24	21	22	34
MJEHNMBL_00064	E745_Chromosome_SuperHybrid_pilon	71902	72369	+	468	302	359	356	347	460	752
MJEHNMBL_00065	E745_Chromosome_SuperHybrid_pilon	72888	73331	+	444	77	76	70	1223	1215	2746
MJEHNMBL_00066	E745_Chromosome_SuperHybrid_pilon	73347	73739	+	393	103	115	114	1155	1286	1493
MJEHNMBL_00067	E745_Chromosome_SuperHybrid_pilon	73828	75054	-	1227	8	7	10	2	5	4
MJEHNMBL_00068	E745_Chromosome_SuperHybrid_pilon	75972	76712	+	741	9	9	14	14	6	18
MJEHNMBL_00069	E745_Chromosome_SuperHybrid_pilon	76804	77991	-	1188	19	48	38	9	12	22
MJEHNMBL_00070	E745_Chromosome_SuperHybrid_pilon	78313	79155	+	843	18	19	24	4	2	10
MJEHNMBL_00071	E745_Chromosome_SuperHybrid_pilon	79152	80102	+	951	12	26	22	10	10	8
