All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    assembly_illumina_CHR_contigs  Pl1_contigs  Pl2_contigs  Pl3_contigs  Pl4_contigs  Pl5_contigs  Pl6_contigs
# contigs (>= 0 bp)         275                            86           9            1            29           1            2          
# contigs (>= 1000 bp)      119                            29           6            1            3            1            2          
# contigs (>= 5000 bp)      76                             14           2            1            1            1            1          
# contigs (>= 10000 bp)     62                             7            0            0            0            1            1          
# contigs (>= 25000 bp)     31                             1            0            0            0            1            1          
# contigs (>= 50000 bp)     14                             0            0            0            0            1            1          
Total length (>= 0 bp)      2649827                        203619       29384        9306         15471        55158        65461      
Total length (>= 1000 bp)   2609636                        186747       27954        9306         8282         55158        65461      
Total length (>= 5000 bp)   2510237                        150019       13127        9306         5548         55158        61793      
Total length (>= 10000 bp)  2405418                        102842       0            0            0            55158        61793      
Total length (>= 25000 bp)  1878131                        25067        0            0            0            55158        61793      
Total length (>= 50000 bp)  1239116                        0            0            0            0            55158        61793      
# contigs                   137                            37           8            1            5            1            2          
Largest contig              114326                         25067        8051         9306         5548         55158        61793      
Total length                2621879                        193070       29306        9306         10003        55158        65461      
Reference length            3168410                        3168410      3168410      3168410      3168410      3168410      3168410    
GC (%)                      38.03                          35.42        35.98        30.78        32.87        35.63        32.05      
Reference GC (%)            37.70                          37.70        37.70        37.70        37.70        37.70        37.70      
N50                         44853                          10576        4734         9306         5548         55158        61793      
NG50                        38416                          -            -            -            -            -            -          
N90                         12466                          2351         4308         9306         861          55158        61793      
NG90                        -                              -            -            -            -            -            -          
auN                         57558.4                        10933.4      5231.4       9306.0       3602.5       55158.0      58536.1    
auNG                        47630.0                        666.2        48.4         27.3         11.4         960.2        1209.4     
L50                         16                             7            3            1            1            1            1          
LG50                        22                             -            -            -            -            -            -          
L90                         59                             22           5            1            4            1            1          
LG90                        -                              -            -            -            -            -            -          
# N's per 100 kbp           0.00                           0.00         0.00         0.00         0.00         0.00         0.00       
